Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees,Latitude,Longitude
F030,Samantha Perry,Kalawa,"-1.980883, 37.939461",2023-06-24,Conventional,Irrigated,Yes,13,5,21,17,34,20,0,35,48,0,0,0,613,848,912,1086,1136,1084,2449,1519,2296,0,0,0,193,-1.980883,37.939461
F031,Lori Campbell,Kibwezi,"-1.68118, 37.718572",2020-10-26,Conventional,Irrigated,No,20,15,19,0,3,6,10,0,0,6,0,0,1042,602,660,330,198,297,0,0,0,0,0,0,79,-1.68118,37.718572
F032,Kayla Peterson,Nguu,"-2.311368, 37.204636",2024-01-10,Organic,Rain-fed,Yes,75,0,6,38,28,46,17,2,13,0,0,0,168,240,174,1808,2450,1910,393,391,638,0,0,0,225,-2.311368,37.204636
F033,Peter Cruz,Nziu,"-1.402527, 37.52472",2024-04-13,Organic,Rain-fed,No,21,0,28,34,0,27,6,0,30,0,0,7,588,1400,1288,1053,1188,999,660,1230,1290,217,196,168,153,-1.402527,37.52472
F034,Sean Simmons,Emali,"-2.083394, 37.689615",2023-06-09,Conventional,Rain-fed,Yes,81,7,0,0,12,0,16,33,45,0,0,0,42,91,35,108,72,180,1860,1848,1926,0,0,0,194,-2.083394,37.689615
F035,Amber Smith,Kitise,"-1.563646, 37.367695",2024-03-09,Organic,Rain-fed,No,11,48,49,7,0,8,16,31,44,0,0,0,2587,2829,2443,248,272,304,1431,1221,2347,0,0,0,214,-1.563646,37.367695
F036,Brian Garcia,Kasikeu,"-2.133756, 38.073712",2022-11-07,Conventional,Irrigated,Yes,17,10,78,9,17,0,21,26,16,0,0,0,2782,2264,3318,238,238,238,1078,798,916,0,0,0,194,-2.133756,38.073712
F037,Seth Campbell,Kasikeu,"-2.302791, 38.047105",2023-08-08,Organic,Rain-fed,Yes,22,0,28,0,2,6,24,1,22,0,0,0,1372,1008,700,258,184,302,587,1022,841,0,0,0,105,-2.302791,38.047105
F038,Warren Schroeder,Kathonzweni,"-1.855374, 37.300969",2021-02-09,Conventional,Irrigated,Yes,32,33,13,0,19,22,35,11,0,0,0,0,699,820,1066,636,967,642,77,110,77,0,0,0,165,-1.855374,37.300969
F039,James King,Mtito Andei,"-2.240379, 37.578136",2020-02-04,Organic,Rain-fed,No,4,17,25,26,2,0,0,0,14,0,0,0,1277,879,727,20,28,18,462,658,392,0,0,0,88,-2.240379,37.578136
F040,Harold Robles,Kalawa,"-1.576964, 37.667802",2021-11-10,Conventional,Irrigated,Yes,15,23,11,4,6,1,10,11,3,0,0,6,667,505,671,130,80,116,268,201,230,258,252,276,90,-1.576964,37.667802
F041,Tiffany Larsen,Sultan Hamud,"-2.286441, 38.028434",2022-08-30,Conventional,Rain-fed,Yes,30,0,12,0,21,18,11,6,14,0,0,0,336,444,312,615,639,951,328,538,660,0,0,0,112,-2.286441,38.028434
F042,Joel Watson,Kibwezi,"-2.315309, 37.559182",2020-02-25,Organic,Rain-fed,No,23,0,4,21,17,10,8,0,25,0,0,6,196,180,100,664,558,409,1200,600,1150,162,222,174,114,-2.315309,37.559182
F043,Ryan Cannon,Kitise,"-2.095541, 37.222244",2025-04-25,Conventional,Irrigated,Yes,2,56,54,28,11,0,32,0,22,0,0,0,1630,2072,2070,88,143,121,484,770,858,0,0,0,205,-2.095541,37.222244
F044,Anthony Moran,Kathonzweni,"-2.428141, 37.979902",2022-06-09,Organic,Rain-fed,No,38,52,32,2,55,19,0,0,29,0,0,0,2124,1528,1372,1156,900,1078,1421,1131,1363,0,0,0,227,-2.428141,37.979902
F045,Ms. Sara Castro MD,Nziu,"-1.953438, 38.070032",2021-11-25,Conventional,Irrigated,No,56,0,37,0,13,4,40,26,0,0,0,0,1628,1665,1036,220,218,310,208,234,182,0,0,0,176,-1.953438,38.070032
F046,Cheyenne Serrano,Makindu,"-1.636327, 37.964724",2025-09-29,Organic,Rain-fed,No,61,1,68,23,37,11,2,11,0,6,7,0,2190,3278,2188,534,754,740,99,77,55,98,105,84,227,-1.636327,37.964724
F047,Michael Larson,Sultan Hamud,"-2.359866, 37.227838",2022-08-17,Conventional,Rain-fed,Yes,0,27,0,10,14,20,0,8,5,0,0,0,324,297,351,698,754,596,278,365,298,0,0,0,84,-2.359866,37.227838
F048,Jessica Lane,Wote,"-1.21447, 37.419064",2024-02-27,Conventional,Irrigated,No,53,66,9,15,0,6,5,11,0,0,0,0,1266,759,1098,138,300,288,88,55,66,0,0,0,165,-1.21447,37.419064
F049,Jessica Carroll,Kasikeu,"-1.860412, 38.161644",2020-01-05,Conventional,Irrigated,No,10,20,27,16,0,40,39,20,8,21,0,0,955,787,781,1000,1600,1320,552,480,596,0,0,0,201,-1.860412,38.161644
F050,Angelica Patterson,Wote,"-1.212624, 37.228561",2024-07-21,Organic,Irrigated,No,0,20,1,13,0,12,11,2,0,0,0,0,242,188,189,540,420,264,16,18,22,0,0,0,59,-1.212624,37.228561
F051,Patricia Francis,Nzaui,"-2.460414, 38.143123",2024-09-26,Organic,Rain-fed,Yes,11,11,33,8,8,19,11,3,23,0,0,0,770,1408,1496,591,854,854,567,648,800,0,0,0,127,-2.460414,38.143123
F052,John Murray,Mbooni,"-2.286183, 37.275532",2023-01-27,Organic,Irrigated,No,0,10,7,19,0,0,12,21,53,32,27,18,343,245,407,0,0,0,1937,2722,1407,630,846,963,199,-2.286183,37.275532
F053,Mrs. Michelle Rivas MD,Ukia,"-1.96674, 37.715721",2020-12-02,Organic,Irrigated,Yes,0,70,54,52,0,24,0,0,19,0,0,0,3086,3016,3114,528,600,1128,817,608,570,0,0,0,219,-1.96674,37.715721
F054,Patrick Boyd,Nguu,"-2.066366, 37.693811",2022-05-09,Organic,Rain-fed,Yes,14,4,48,1,0,22,30,0,10,0,0,0,2164,1444,1764,440,462,770,410,430,200,0,0,0,129,-2.066366,37.693811
F055,Ryan Ballard,Kathonzweni,"-2.371347, 37.260759",2021-12-29,Organic,Rain-fed,No,3,0,13,2,11,12,0,12,12,0,0,0,364,624,351,398,354,406,504,480,408,0,0,0,65,-2.371347,37.260759
F056,Sally Lang,Kibwezi,"-2.117729, 37.255572",2020-02-12,Conventional,Irrigated,Yes,24,61,0,0,15,40,0,0,36,0,0,0,549,854,732,2085,1300,1405,1116,1764,1044,0,0,0,176,-2.117729,37.255572
F057,Jessica Jacobs DVM,Mbooni,"-2.184873, 38.126851",2025-01-05,Organic,Irrigated,Yes,63,35,45,20,0,15,0,30,17,0,0,0,2155,1650,2580,525,690,555,758,1164,571,0,0,0,225,-2.184873,38.126851
F058,Mary Carter,Kilungu,"-1.884883, 37.408943",2025-10-04,Organic,Irrigated,Yes,30,33,24,10,0,41,3,0,6,18,0,30,1146,1575,1278,1886,1394,1148,132,240,240,1080,660,1320,195,-1.884883,37.408943
F059,Sandra Jones,Mtito Andei,"-2.115795, 38.06188",2025-05-13,Conventional,Irrigated,Yes,10,8,1,11,0,4,9,0,2,1,6,0,141,113,64,140,120,160,96,56,84,60,30,72,52,-2.115795,38.06188
F060,Victoria Bennett,Nziu,"-1.651547, 37.471436",2020-12-08,Organic,Irrigated,No,0,0,0,0,14,22,18,21,19,13,3,12,0,0,0,1268,942,1094,839,753,875,615,540,381,122,-1.651547,37.471436
F061,Tina Dennis,Emali,"-1.5323, 37.974847",2025-07-24,Conventional,Irrigated,No,27,51,48,4,4,6,0,0,20,0,12,0,1668,1761,1983,196,340,160,540,520,820,156,144,144,172,-1.5323,37.974847
F062,Barbara Stevenson,Nzaui,"-2.362204, 37.31689",2022-03-28,Conventional,Irrigated,Yes,29,0,39,33,4,43,0,2,18,2,0,0,1755,1404,1209,1776,1459,1525,768,388,586,0,0,0,170,-2.362204,37.31689
F063,Amanda Garcia,Kalawa,"-1.705892, 37.889148",2023-01-18,Organic,Rain-fed,No,0,30,39,0,17,2,16,0,6,0,0,0,1743,1944,2262,142,176,285,180,252,180,0,0,0,110,-1.705892,37.889148
F064,Bradley Willis,Mtito Andei,"-1.976263, 37.485287",2022-11-22,Organic,Rain-fed,Yes,60,0,36,20,15,11,45,15,0,0,1,16,1152,1620,1584,448,455,712,210,165,210,396,781,765,219,-1.976263,37.485287
F065,Alan Wilson,Nzaui,"-1.500404, 38.025748",2023-10-11,Organic,Rain-fed,Yes,15,15,0,11,2,0,4,4,0,0,0,0,120,120,150,12,22,22,44,48,48,0,0,0,51,-1.500404,38.025748
F066,Monica White,Emali,"-2.466987, 37.586224",2021-10-10,Organic,Irrigated,No,0,0,6,25,28,42,1,25,0,29,0,21,132,186,180,2268,1330,1554,250,275,175,504,966,546,177,-2.466987,37.586224
F067,Robert Miller,Mbooni,"-1.759251, 37.899891",2023-03-02,Organic,Rain-fed,No,0,4,0,8,0,13,10,8,8,0,6,0,24,60,44,403,286,390,312,296,280,84,30,30,57,-1.759251,37.899891
F068,Morgan Gill,Ukia,"-1.773294, 37.679407",2025-03-17,Organic,Rain-fed,Yes,1,11,14,2,10,21,1,3,3,8,8,12,641,399,661,614,1140,1005,96,138,135,448,512,316,94,-1.773294,37.679407
F069,Bryan Rogers,Kalawa,"-1.654576, 37.418171",2021-12-01,Conventional,Rain-fed,No,20,1,0,14,0,15,12,10,13,0,0,0,14,10,12,510,690,435,640,513,503,0,0,0,85,-1.654576,37.418171
F070,Michael Perkins,Kathonzweni,"-1.316527, 37.347765",2023-06-16,Conventional,Irrigated,No,54,0,7,24,4,37,11,0,16,0,0,0,315,301,329,891,1249,1586,672,576,528,0,0,0,153,-1.316527,37.347765
F071,Suzanne Stanley,Emali,"-1.782567, 37.909975",2023-03-02,Organic,Irrigated,Yes,8,28,48,9,22,11,0,31,2,0,0,0,1864,2476,1948,517,550,660,324,366,274,0,0,0,159,-1.782567,37.909975
F072,Lauren Herrera,Sultan Hamud,"-2.023456, 37.444192",2021-02-18,Conventional,Rain-fed,No,26,32,7,0,14,2,0,5,0,6,0,2,692,498,448,310,216,148,55,25,40,58,90,56,94,-2.023456,37.444192
F073,Timothy Foster,Sultan Hamud,"-1.237956, 37.914066",2022-06-08,Conventional,Irrigated,No,0,43,51,22,16,20,1,0,2,0,0,0,2153,1756,2293,836,592,784,84,42,74,0,0,0,155,-1.237956,37.914066
F074,Matthew Griffin,Kyemole,"-2.016365, 37.403026",2021-06-15,Organic,Rain-fed,Yes,46,29,57,0,0,0,47,0,10,25,0,16,2141,3083,2313,0,0,0,380,460,500,544,384,592,230,-2.016365,37.403026
F075,Lisa Bates,Mtito Andei,"-1.309359, 37.224365",2025-01-20,Organic,Rain-fed,Yes,15,29,52,27,0,25,0,33,10,0,0,0,2179,2642,2393,1025,650,975,438,670,776,0,0,0,191,-1.309359,37.224365
F076,Charles Mason,Nziu,"-2.012682, 37.895281",2025-05-13,Organic,Irrigated,No,0,12,5,19,26,17,20,17,44,0,0,0,358,296,425,691,771,789,2150,1666,1707,0,0,0,160,-2.012682,37.895281
F077,Christopher Andrews,Kyemole,"-2.242843, 37.796035",2020-02-21,Organic,Rain-fed,Yes,0,44,0,0,0,40,30,32,19,0,15,23,572,660,220,1000,960,800,844,851,724,917,1261,687,203,-2.242843,37.796035
F078,David Nichols,Sultan Hamud,"-2.255735, 37.576443",2022-09-09,Conventional,Irrigated,Yes,10,26,0,0,0,12,0,9,16,0,0,0,390,156,260,552,324,432,935,767,746,0,0,0,73,-2.255735,37.576443
F079,Kaitlin Carpenter,Kilungu,"-1.593641, 37.455928",2021-02-09,Conventional,Irrigated,No,85,8,44,1,22,4,0,23,6,0,0,0,1232,2172,1484,230,340,432,381,472,287,0,0,0,193,-1.593641,37.455928
F080,Roger Simpson,Mbooni,"-1.429488, 38.16664",2021-02-06,Organic,Rain-fed,No,7,24,27,10,14,3,21,4,19,0,0,0,924,1320,864,202,318,190,637,564,705,0,0,0,129,-1.429488,38.16664
F081,Sheila Curtis,Mbooni,"-2.460728, 37.895549",2024-11-13,Organic,Rain-fed,Yes,58,0,33,0,20,52,0,1,4,13,39,0,1221,1023,990,1504,1440,2200,130,193,156,468,468,468,220,-2.460728,37.895549
F082,Alyssa Hunter,Kitise,"-2.090922, 37.547894",2024-10-15,Conventional,Rain-fed,No,14,26,12,30,4,9,0,4,0,3,4,7,874,558,694,371,472,417,48,44,36,263,287,266,113,-2.090922,37.547894
F083,Lori Perry,Thange,"-1.703375, 37.877348",2025-04-16,Organic,Irrigated,No,29,34,4,5,24,26,0,29,0,7,16,0,570,456,622,1258,1456,1276,261,232,145,176,224,80,174,-1.703375,37.877348
F084,Brandon Pham,Kathonzweni,"-1.643898, 37.924621",2021-06-07,Organic,Irrigated,Yes,42,70,3,0,30,14,20,18,49,0,0,0,692,428,1121,928,814,622,1588,2367,1307,0,0,0,246,-1.643898,37.924621
F085,Peter Carlson,Kitise,"-1.670628, 37.436863",2022-10-22,Conventional,Irrigated,No,40,48,0,14,1,10,0,10,0,8,0,0,576,288,432,318,330,385,110,130,80,0,0,0,131,-1.670628,37.436863
F086,Donna May,Kyemole,"-1.698386, 37.230001",2023-07-28,Organic,Rain-fed,No,9,8,6,11,9,17,0,1,0,0,0,0,386,308,406,871,499,873,8,6,5,0,0,0,61,-1.698386,37.230001
F087,Matthew Gomez,Mtito Andei,"-2.049595, 37.388788",2020-03-08,Conventional,Rain-fed,No,0,0,8,0,50,57,28,40,27,0,0,0,272,320,304,3315,3250,3543,1508,1802,1590,0,0,0,210,-2.049595,37.388788
F088,Jackson Peterson,Nzaui,"-1.906947, 37.238507",2024-10-05,Organic,Irrigated,Yes,82,50,14,38,46,0,10,0,2,0,0,0,830,1218,1310,460,276,598,68,68,64,0,0,0,242,-1.906947,37.238507
F089,Aaron Mcguire,Kibwezi,"-2.332369, 37.976313",2022-03-27,Organic,Irrigated,No,21,32,23,28,32,19,0,18,26,0,0,0,1299,689,868,1073,732,1151,1022,1032,1376,0,0,0,199,-2.332369,37.976313
F090,Miss Elizabeth Hays MD,Kalawa,"-2.196165, 37.539409",2025-03-28,Organic,Rain-fed,No,41,59,0,16,11,33,0,6,38,0,0,0,413,885,708,1749,935,1232,1668,1778,1370,0,0,0,204,-2.196165,37.539409
F091,Jennifer Michael,Kilungu,"-1.842989, 37.338643",2021-09-11,Organic,Irrigated,No,41,2,36,0,12,0,0,12,0,7,0,0,1722,1570,1644,168,168,156,120,96,108,0,0,0,110,-1.842989,37.338643
F092,Christopher Smith,Sultan Hamud,"-1.934757, 37.846309",2023-06-27,Conventional,Irrigated,No,12,28,3,0,2,12,3,0,2,0,20,0,349,492,364,374,384,376,58,64,78,300,180,100,82,-1.934757,37.846309
F093,John Andrade,Kyemole,"-2.112286, 37.442463",2022-09-24,Conventional,Rain-fed,No,37,47,0,10,51,40,3,15,5,0,0,0,564,517,376,1645,2157,1441,330,325,340,0,0,0,208,-2.112286,37.442463
F094,Margaret Hutchinson,Ukia,"-1.214255, 38.072917",2023-09-24,Conventional,Irrigated,Yes,22,6,40,0,40,27,25,2,0,5,0,17,1604,1734,1066,1251,1438,1089,20,16,24,374,374,544,184,-1.214255,38.072917
F095,Justin Anderson,Nguu,"-2.115145, 37.607962",2020-05-25,Organic,Irrigated,Yes,0,45,49,0,28,0,13,21,0,0,0,1,2602,1344,3080,280,196,252,210,147,252,31,43,38,157,-2.115145,37.607962
F096,Linda Roy,Emali,"-1.333194, 37.416824",2021-12-30,Organic,Rain-fed,No,0,1,9,2,8,18,8,17,10,0,0,0,455,228,297,818,522,550,609,568,678,0,0,0,73,-1.333194,37.416824
F097,Brittany Castillo,Emali,"-2.239469, 38.145582",2020-12-05,Organic,Rain-fed,No,12,12,0,29,0,12,0,7,38,12,29,15,72,84,132,420,516,324,1611,1369,1248,621,797,961,166,-2.239469,38.145582
F098,Matthew Kennedy,Emali,"-1.526059, 37.290358",2023-02-12,Conventional,Irrigated,Yes,8,26,0,0,29,21,33,0,13,0,14,0,364,260,390,1275,1059,1224,481,286,559,196,70,168,144,-1.526059,37.290358
F099,Nathan Jenkins,Thange,"-1.568926, 37.316374",2022-07-15,Organic,Irrigated,No,24,2,0,3,15,6,5,9,6,4,7,6,28,18,28,387,444,288,378,276,348,234,345,247,87,-1.568926,37.316374
F100,Patrick Jones,Mtito Andei,"-1.823883, 37.383106",2022-06-26,Organic,Rain-fed,No,28,3,44,10,0,4,0,9,2,0,0,0,1133,1796,2004,168,152,100,181,173,166,0,0,0,100,-1.823883,37.383106
F101,Tanya Casey,Mtito Andei,"-1.381128, 37.752761",2025-10-09,Conventional,Irrigated,Yes,15,0,16,8,2,0,4,8,4,0,5,0,768,656,368,30,10,16,320,280,208,25,45,40,62,-1.381128,37.752761
F102,Donna Munoz DDS,Kathonzweni,"-1.808079, 37.398856",2022-03-02,Organic,Irrigated,Yes,6,2,5,2,46,46,14,20,10,0,0,0,169,143,155,1978,2254,2760,490,770,540,0,0,0,151,-1.808079,37.398856
F103,Mark Livingston,Wote,"-1.906792, 37.56135",2023-05-10,Organic,Rain-fed,No,1,0,6,0,17,10,0,19,16,0,0,0,294,198,288,366,359,653,955,558,941,0,0,0,69,-1.906792,37.56135
F104,Robert Craig,Kibwezi,"-2.10208, 37.297463",2024-11-24,Conventional,Rain-fed,Yes,38,14,19,11,7,1,0,19,0,0,18,14,583,801,573,128,86,107,171,266,247,642,662,570,141,-2.10208,37.297463
F105,James Weaver,Nziu,"-2.292247, 37.534328",2023-09-01,Conventional,Rain-fed,Yes,51,0,0,32,0,2,0,30,23,24,0,10,0,0,0,94,52,70,1501,930,1494,220,350,310,172,-2.292247,37.534328
F106,Mr. Chad Ballard Jr.,Nziu,"-1.355687, 37.262885",2025-04-09,Conventional,Irrigated,No,16,0,34,12,0,0,17,14,1,0,0,0,714,952,1496,0,0,0,154,168,92,0,0,0,94,-1.355687,37.262885
F107,Blake Boyle,Kasikeu,"-2.475705, 37.416059",2022-11-12,Conventional,Rain-fed,No,4,8,36,0,7,15,10,0,15,0,0,0,1660,1664,824,638,574,489,585,750,405,0,0,0,95,-2.475705,37.416059
F108,Kevin Jones,Wote,"-1.737003, 37.846701",2025-01-04,Conventional,Irrigated,Yes,44,75,0,0,28,0,4,0,44,0,0,0,450,600,450,196,392,140,1804,1804,1540,0,0,0,195,-1.737003,37.846701
F109,Nicholas Brady,Emali,"-1.488621, 37.54284",2025-07-14,Conventional,Rain-fed,No,0,41,4,12,10,0,18,11,9,4,0,0,742,424,471,100,80,100,584,410,336,0,0,0,109,-1.488621,37.54284
F110,Andrew Browning,Nziu,"-1.97466, 37.683121",2024-09-05,Conventional,Irrigated,Yes,28,17,6,16,12,0,7,0,7,9,0,6,273,404,442,72,168,96,259,350,308,240,240,168,108,-1.97466,37.683121
F111,Alyssa Reyes,Kibwezi,"-1.383372, 38.059695",2023-09-03,Organic,Rain-fed,Yes,2,24,6,0,8,12,0,0,6,4,0,8,432,552,534,400,496,308,180,246,270,352,368,368,70,-1.383372,38.059695
F112,Kevin Flynn,Kyemole,"-2.075504, 37.847882",2024-03-10,Conventional,Rain-fed,No,0,0,16,11,13,13,4,3,1,0,0,0,336,528,784,793,650,481,66,73,57,0,0,0,61,-2.075504,37.847882
F113,Frank Powell,Kyemole,"-2.230763, 37.217431",2023-08-20,Conventional,Irrigated,No,0,0,0,48,22,0,59,47,9,0,27,10,0,0,0,132,220,264,894,875,577,539,571,681,222,-2.230763,37.217431
F114,Michael Ferguson,Kyemole,"-1.977161, 37.427567",2021-04-03,Organic,Rain-fed,Yes,73,14,51,0,22,0,0,36,22,4,6,17,2556,2667,1971,110,154,330,998,1604,934,515,750,769,245,-1.977161,37.427567
F115,Amy Hardin,Nziu,"-1.673792, 37.291451",2022-12-10,Organic,Irrigated,Yes,4,54,25,36,21,11,0,21,1,0,0,7,1220,1856,1470,400,581,723,284,258,260,273,238,140,180,-1.673792,37.291451
